
MA|660010|农银策略精选混合	混合型|5, 9, 58|9.29739
MACD|660010|农银策略精选混合	混合型|9, 24, 6|11.16404
MA|165312|建信央视50	股票指数|2, 9, 20|2.80028
MACD|165312|建信央视50	股票指数|14, 24, 8|0.0
MA|040008|华安策略优选混合	混合型|5, 5, 45|17.21688
MACD|040008|华安策略优选混合	混合型|9, 24, 6|7.42604
MA|360007|光大保德信优势配置混合	混合型|2, 18, 21|20.28213
MACD|360007|光大保德信优势配置混合	混合型|9, 24, 6|15.66665
MA|169101|东方红睿丰混合	混合型|2, 14, 57|9.25694
MACD|169101|东方红睿丰混合	混合型|14, 24, 8|7.90809
MA|001631|天弘中证食品饮料指数A	股票指数|5, 5, 28|22.53268
MACD|001631|天弘中证食品饮料指数A	股票指数|9, 21, 6|10.18305
MA|001281|长安鑫利优选混合A	混合型|5, 5, 21|23.91732
MACD|001281|长安鑫利优选混合A	混合型|14, 24, 6|10.05931
MA|001287|安信优势增长混合A	混合型|5, 5, 28|21.04136
MACD|001287|安信优势增长混合A	混合型|9, 24, 8|9.37687
MA|000431|鹏华品牌传承混合	混合型|5, 11, 35|11.3846
MACD|000431|鹏华品牌传承混合	混合型|15, 31, 12|11.07392
MA|002072|长安鑫利优选混合C	混合型|5, 5, 21|23.86419
MACD|002072|长安鑫利优选混合C	混合型|14, 21, 7|10.05757
MA|519690|交银稳健配置混合A	混合型|4, 7, 43|1.80661
MACD|519690|交银稳健配置混合A	混合型|11, 31, 11|-5.47862
MA|001632|天弘中证食品饮料指数C	股票指数|5, 5, 28|22.42101
MACD|001632|天弘中证食品饮料指数C	股票指数|9, 21, 6|10.11126
MA|001170|泰达宏利复兴混合	混合型|5, 9, 43|10.9261
MACD|001170|泰达宏利复兴混合	混合型|9, 24, 8|10.49067
MA|519066|汇添富蓝筹稳健	混合型|5, 5, 28|14.34914
MACD|519066|汇添富蓝筹稳健	混合型|9, 24, 6|0.94332
MA|540009|汇丰晋信消费红利	股票型|5, 5, 28|10.10499
MACD|540009|汇丰晋信消费红利	股票型|14, 24, 6|8.39297
MA|110011|易方达中小盘混合	混合型|5, 5, 28|23.0047
MACD|110011|易方达中小盘混合	混合型|15, 31, 11|9.72689
MA|540012|汇丰晋信恒生龙头指数A	股票指数|5, 5, 32|14.3273
MACD|540012|汇丰晋信恒生龙头指数A	股票指数|15, 24, 7|11.49186
MA|530015|建信深证60联接	联接基金|5, 5, 28|23.85793
MACD|530015|建信深证60联接	联接基金|9, 22, 6|17.86439
MA|217027|招商央视财经50指数A	股票指数|5, 5, 21|20.89197
MACD|217027|招商央视财经50指数A	股票指数|9, 21, 6|10.23026
MA|001044|嘉实新消费股票	股票型|5, 5, 21|19.57668
MACD|001044|嘉实新消费股票	股票型|9, 24, 6|6.10205
MA|519068|汇添富成长焦点混合	混合型|5, 5, 28|23.91683
MA|000018|180金融|5, 5, 21|30.76524
MACD|519068|汇添富成长焦点混合	混合型|13, 34, 12|7.29549
MA|270050|广发新经济混合	混合型|3, 8, 50|3.38248
MACD|270050|广发新经济混合	混合型|3, 26, 8|6.71152
MA|270041|广发消费品精选混合	混合型|5, 9, 43|6.3973
MACD|270041|广发消费品精选混合	混合型|3, 38, 19|5.65656
MA|502056|广发医疗指数分级	股票指数|4, 18, 21|1.30692
MACD|502056|广发医疗指数分级	股票指数|3, 33, 7|1.19178
MA|270042|广发纳斯达克100指数	QDII-指数|5, 5, 28|12.66666
MACD|270042|广发纳斯达克100指数	QDII-指数|5, 26, 6|7.20149
MA|270010|广发沪深300ETF联接A	联接基金|5, 5, 28|9.83318
MACD|270010|广发沪深300ETF联接A	联接基金|7, 22, 11|5.37862

MA|002124|广发新兴产业|2, 9, 54|14.20545
MACD|002124|广发新兴产业|3, 23, 6|14.9767

MA|002124|广发新兴产业|2, 9, 46|14.20545
MACD|002124|广发新兴产业|3, 23, 6|14.63508
MA|002963|egold|5, 6, 17|1.40699
MACD|002963|egold|20, 26, 19|0.0
MA|003321|eoil|5, 19, 10|16.64486
MACD|003321|eoil|18, 26, 5|15.66147
MA|004744|eGEI|2, 7, 13|0.68801
MACD|004744|eGEI|19, 26, 10|0.0
MA|110003|eSSE50|3, 19, 21|8.82616
MACD|110003|eSSE50|3, 26, 5|15.25248
MA|110020|HS300|2, 6, 55|6.33577
MACD|110020|HS300|20, 39, 5|4.12515
MA|110031|eHSI|3, 9, 19|10.72522
MACD|110031|eHSI|3, 26, 13|10.08802
MA|161130|eNASDAQ100|4, 10, 48|5.9706
MACD|161130|eNASDAQ100|10, 26, 8|5.59138
MA|110028|anxinB|2, 6, 8|3.53012
MACD|110028|anxinB|15, 26, 13|0.44179
MA|110022|eConsumption |5, 14, 60|13.26343
MACD|110022|eConsumption |4, 27, 5|13.66247
MA|161125|SPX500|2, 7, 22|2.63515
MACD|161125|SPX500|4, 24, 12|5.59204
MA|002124|广发新兴产业|2, 9, 46|14.20545
MA|270007|广发大盘成长	混合型|5, 8, 42|6.85049
MACD|270007|广发大盘成长	混合型|5, 26, 6|7.63547
MA|270023|广发全球精选股票(QDII)	QDII|2, 9, 7|6.38554
MACD|270023|广发全球精选股票(QDII)	QDII|18, 26, 8|3.88429
MA|270002|广发稳健增长	混合型|3, 9, 30|0.39729
MACD|270002|广发稳健增长	混合型|3, 24, 11|2.34982
MA|270021|广发聚瑞混合	混合型|3, 8, 18|0.55083
MACD|270021|广发聚瑞混合	混合型|9, 21, 20|0.0
MA|162714|广发深证100指数分级	股票指数|3, 9, 60|3.12348
MACD|162714|广发深证100指数分级	股票指数|5, 26, 8|0.61804
MA|270001|广发聚富	混合型|2, 7, 57|2.60364
MACD|270001|广发聚富	混合型|9, 26, 16|0.0
