146	519979	长信内需成长混合	混合型	100	100	91	82	93.25
147	162719	广发道琼斯石油指数A	QDII-指数	74	100	100	100	93.5
148	000127	农银行业领先混合	混合型	100	75	100	100	93.75
149	004243	广发道琼斯石油指数C	QDII-指数	76	100	100	100	94.0
150	004183	富国产业升级混合	none	100	76	100	100	94.0
151	519642	银河智造混合	混合型	100	77	100	100	94.25
152	519191	万家新利灵活配置混合	混合型	78	100	100	100	94.5
153	161706	招商优质成长混合(LOF)	混合型	100	78	100	100	94.5
154	002534	华安稳固收益债券A	债券型	100	100	80	98	94.5
155	217012	招商行业领先混合A	混合型	100	79	100	100	94.75
156	370024	上投摩根核心优选混合	混合型	100	100	95	84	94.75
157	001663	中银互联网+股票	股票型	100	80	100	100	95.0
158	001657	长安鑫富领先混合	混合型	100	82	100	100	95.5
159	000835	华润元大富时中国A50指数	股票指数	83	100	100	100	95.75
160	163411	兴全精选混合	保本型	85	100	100	100	96.25
161	001927	华夏消费升级灵活配置混合A	混合型	100	100	87	99	96.5
162	004477	嘉实沪港深回报混合	混合型	100	88	100	100	97.0
163	519915	富国消费主题混合	混合型	89	100	100	100	97.25
164	004263	华安沪港深机会灵活配置混合	none	100	90	100	100	97.5
165	001626	国泰央企改革股票	股票型	91	100	100	100	97.75
166	160624	鹏华消费领先混合	混合型	100	91	100	100	97.75
167	005063	广发中证全指家用电器指数A	none	92	100	100	100	98.0
168	001928	华夏消费升级灵活配置混合C	混合型	100	100	92	100	98.0
169	005064	广发中证全指家用电器指数C	none	94	100	100	100	98.5
170	000496	长安产业精选混合A	混合型	95	100	100	100	98.75
171	519706	交银深证300联接	联接基金	96	100	100	100	99.0
172	481001	工银核心价值混合A	混合型	98	100	100	100	99.5
173	004357	南方智慧混合	混合型	99	100	100	100	99.75
174	000017	财通可持续混合	混合型	100	100	100	100	100.0
